id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
2549,Z,0.007287499960511923,0.010037500411272049,0.012924999929964542,0.05679309740662575,0.5774601697921753,0.8200507164001465,8
2550,Q,0.03698749840259552,-0.08910000324249268,0.011824999935925007,-0.011425920762121677,0.5799075365066528,0.811592161655426,8
2551,X,-0.07590000331401825,-0.060362499207258224,0.012924999929964542,0.04700382053852081,0.5797086954116821,0.8154619336128235,8
2552,T,0.15523749589920044,0.3051125109195709,0.02681249938905239,-0.0537339448928833,0.6575181484222412,0.7438778877258301,8
2553,D,-0.057750001549720764,-0.012374999932944775,-0.0030249999836087227,0.07556097954511642,0.6065221428871155,0.7890615463256836,8
2554,D,0.0317624993622303,-0.035750001668930054,-0.0019249999895691872,0.05292327702045441,0.5960292220115662,0.7856964468955994,8
2555,A,-0.08868750184774399,-0.284074991941452,0.015124999918043613,-0.021521110087633133,0.5681909918785095,0.7813065648078918,8
2556,C,-0.050324998795986176,0.028049999848008156,0.018287500366568565,0.06750012189149857,0.6145830154418945,0.8047549724578857,8
2557,N,0.038087498396635056,0.13997499644756317,0.005499999970197678,0.004083963576704264,0.6133593320846558,0.7717161178588867,8
2558,H,-0.1237500011920929,-0.09446249902248383,0.008662499487400055,-0.02344837412238121,0.675352931022644,0.7093095183372498,8
2559,P,0.026399999856948853,0.08992499858140945,-0.010449999943375587,0.05189845710992813,0.6257947683334351,0.786614179611206,8
2560,W,-0.02474999986588955,-0.22123749554157257,-0.026399999856948853,0.03334472328424454,0.6275385022163391,0.8333120942115784,8
2561,O,0.053075000643730164,0.08772499859333038,-0.02969999983906746,0.023861359804868698,0.6301846504211426,0.7788592576980591,8
2562,I,-0.059812501072883606,-0.0635249987244606,-0.04455000162124634,0.03966186195611954,0.6319130659103394,0.7597854733467102,8
2563,X,0.0147124994546175,0.05156249925494194,0.03739999979734421,0.07606573402881622,0.6209000945091248,0.7842586636543274,8
2564,K,-0.02681249938905239,0.021724998950958252,-0.025437500327825546,0.06924383342266083,0.6065221428871155,0.819851815700531,8
2565,F,0.07961250096559525,0.037675000727176666,-0.036024998873472214,0.12247301638126373,0.6285480260848999,0.7883426547050476,8
2566,N,-0.06421250104904175,-0.10395000129938126,0.012924999929964542,-0.006623057182878256,0.6153019070625305,0.7490784525871277,8
